head,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
"ROWID:9c0bbd4d-6e07-433e-b144-a8d5b66bd121",-8.928535526230839e-05,-0.0818197687026657,0.2217235209310658,-0.4536073313585452,-0.470204545978257,0.5380936332664773,-0.3649743798304488,0.1352782860442495,0.021523692180779597,0.04798272401158518,0.07801328568262857,0.08580663954154563,-0.12002400452086996,0.055173284547125986,-0.06061229742771287,0.09359523002104932,-0.1506448540688631,-0.041378453379106186,-0.009927013294305016,-0.029374482163965272,-0.036012475402577876,-0.033741302565335723,0.0154805741591116,0.045822612409555936,0.0007607866254973557
"ROWID:422a32db-be0d-4e4c-a73e-1163bacac857",-0.00019234271472960433,-0.10663593425718627,0.10120213526186186,-0.44107595077743755,-0.4193378782123657,0.5489439327016027,-0.32329423498947385,0.20379794110864344,0.09046952316442823,0.002370525419551403,-0.07621301356847869,-0.06161883295304062,-0.1743599850582139,0.05063413305042553,-0.01633416603088386,0.13361611980276905,-0.28722293368389096,-0.018508294355647825,0.057040054090131624,-0.029196774706261884,-0.03594795746530795,-0.033813330870854745,0.015515050548363997,0.04581942284974012,0.0003739732681776306
"ROWID:61d6be4f-09d1-4347-b224-e6ae9df9d7e0",-0.000303971184483571,-0.09881718756878417,0.10410897678710193,-0.4489864072941108,-0.379099085357976,0.5616880894024614,-0.3307782743229106,0.21281241451056687,0.016762173184420703,0.04414255317273414,-0.056088682431339874,-0.05130172242891127,-0.19509773859546453,0.03615761622783784,-0.02432277558708959,0.14450685937994504,-0.29212540458790787,-0.018994483526571248,0.05870462218772556,-0.029887937858534712,-0.03682262204131503,-0.03459933405602636,0.015968475928127893,0.04687404003747113,0.00039617236865290305
"ROWID:79fe38b8-aacd-4702-ac00-989e74e5edbb",-7.595821449133978e-05,-0.10384489070006858,0.07070071861836924,-0.3842567052655913,-0.43129570611553597,0.5850496003571904,-0.3108216909668905,0.14442063528459023,0.025224964037084588,0.08688906045201551,-0.040180460773342,-0.014912095939779145,-0.30881703599770616,0.006988343361984968,-0.03313628118662609,0.17332351974158305,-0.21450037883443715,-0.02001915331921292,0.035605647340134765,-0.031523810808813446,-0.038786119583241435,-0.03633427178233147,0.016758881608701034,0.049402263064110996,0.000762527837259065
"ROWID:2e9ff9b6-cb94-4937-958b-01a8790fc02c",-0.00018926370513792088,-0.08969186258297304,0.07544016866769883,-0.5245375633619959,-0.4612589615489273,0.5109174656839214,-0.28116400673102276,0.1718765404504223,0.10197865837911942,0.04053848630985659,0.024647728958432206,0.038365139388594226,-0.1571418569765071,0.06699703682550527,-0.020266058616107845,0.12678636849359348,-0.21736565677755018,0.029365134473775353,0.0969902830780657,-0.04473323737615592,-0.0335617499207588,-0.07906719156188446,0.014521943237818982,0.04284611260143121,0.00038894641321190814
"ROWID:62d87274-d9de-437c-a6f9-cd80cfc9e85f",-0.00014803396828539376,-0.09249979686388282,0.04466746716011644,-0.514713462145948,-0.44420353307571286,0.5266010287777261,-0.31489505958950564,0.14861272416300253,0.10522423725277077,0.002281330658696889,0.02925495445712247,0.03100171752042275,-0.16658409892138507,0.10234992688996851,-0.02087240086166436,0.11950331517087917,-0.19574470526059015,-0.006137139245587965,0.10365948202686213,-0.018950047208112088,0.014100695897175752,-0.08922176545101013,0.05688648941540959,0.044250793382979756,0.00044135216209163634
"ROWID:177ee1c3-7170-4583-a99b-c87468b87755",-7.760754944869945e-05,-0.03320596813705465,0.09947684153211767,-0.4317470372090907,-0.4461051384170679,0.5988907413602037,-0.3883881126048451,0.13768829898471138,-0.010028477504815149,0.05371539829212292,0.0667858835780441,0.027169275966615183,-0.10686649915331926,0.0013403319353112461,-0.022984922873117968,0.1277980892511012,-0.1550085215648546,-0.019178714548606958,0.033716906953408975,-0.029934925792050225,-0.08630732268660254,-0.04786367191428188,0.015940333404295844,0.047145158550587936,0.0007224446626051602
"ROWID:831a8186-6d69-499c-87a8-a5032dcd68e8",-1.2982061542872392e-05,-0.03218064470464581,0.04771267010883398,-0.4485547359507349,-0.4343565418761154,0.6097533651981948,-0.37445046263051857,0.1549612862588036,-0.00515046784626823,0.04797203284628956,0.06458403925502577,0.026509698731648535,-0.10376278509648708,0.0014759808663785251,-0.022355084103365272,0.12415945548415544,-0.15057657023603144,-0.018632667329065496,0.03283209717606158,-0.02924887769932374,-0.07871343811211642,-0.05842469878961624,0.015509567761608096,0.04588464366441089,0.0007706226137326121
"ROWID:0698271d-864f-451f-94bf-ae50be85d160",2.3208924991265487e-05,-0.08283846606115494,0.10903581842886213,-0.41397440493356386,-0.4286807777487605,0.623236769788381,-0.37387783390303003,0.16569264299989842,0.03429290864865598,0.04782104238902937,0.06537221924891445,0.02610271837592254,-0.10176535058195091,0.0011728407591863096,-0.02225922693657344,0.12285413661306413,-0.14898983482433553,-0.01837027037744619,0.03224785551494309,-0.029064255683992995,-0.056956635356641666,-0.0782186522600473,0.015376714451430245,0.045397500995330686,0.0007805731490266558
"ROWID:1f7c84cb-b06f-43e2-bcbf-1ad24135c4ed",-9.336699461800891e-05,-0.05991555556550126,0.09292426639502693,-0.46844809084836253,-0.48621453221889327,0.5546578826529232,-0.3363647118799663,0.12420190735526125,0.07198616799426556,0.049449672316686344,0.01975370585048595,0.0023301848902326874,-0.15683615746336946,0.05782717299343116,-0.07496248722011198,0.12691220320063526,-0.10591697456941494,0.016765681599325725,0.14379120927058264,-0.030750122855908963,-0.036343926884412195,-0.03417792691040003,0.01568897554962331,0.04655121167740044,0.0007780883652718611
