sample,label,Fc0,Fc1,Fv2,Fv3
Fc0C1LPS4,P,C1,C7,0.0,0.0494
Fc0C1LPS5,P,C1,C0,0.0,0.0294
Fc0C1LPS6,P,C1,C0,-0.0403,0.0
Fc0C1LPS7,P,C1,C0,0.0,0.0
Fc0C1LPS8,P,C1,C0,0.0,0.0
Fc0C1LPS9,P,C1,C0,0.0,0.0
Fc0C1LPS10,P,C1,C9,0.0004,0.0
Fc0C1LPS11,P,C1,C8,0.0,0.0
Fc0C1LPS12,P,C1,C5,0.0,0.0
Fc0C1LPS13,P,C1,C0,5.0114,0.0
Fc0C1LPS14,P,C1,C0,0.0,0.0
Fc0C1LPS15,P,C1,C0,0.0,0.0
Fc0C1LPS16,P,C1,C0,0.0,0.0
Fc0C1LPS17,P,C1,C0,0.0,0.0
Fc0C1LPS18,P,C1,C0,0.0,0.0
Fc0C1LPS19,P,C1,C0,0.0,0.0
Fc0C1LPS20,P,C1,C4,0.0,0.0
Fc0C1LPS21,P,C1,C0,0.0,-0.0221
Fc0C1LPS22,P,C1,C4,0.0,0.0
Fc0C1LPS23,P,C1,C0,0.0,0.0
Fc0C1LPS24,P,C1,C0,0.0,0.05
Fc0C1LPS25,P,C1,C0,0.0,0.0
Fc0C1LPS26,P,C1,C0,0.0,0.0
Fc0C1LPS27,P,C1,C0,0.0,0.0
Fc0C1LPS28,P,C1,C0,0.0,0.0
Fc0C1LPS29,P,C1,C0,7.0,0.0
Fc0C1LPS30,P,C1,C0,0.0,8.0
Fc0C1LPS31,P,C1,C0,0.0,0.0
Fc0C1Fc1C1LQS4,Q,C1,C1,0.0,0.0
Fc0C1Fc1C1LQS5,Q,C1,C1,0.0,0.0
Fc0C1Fc1C1LQS6,Q,C1,C1,0.0,0.0
Fc0C1Fc1C1LQS7,Q,C1,C1,0.0,0.0
Fc0C1Fc1C1LQS8,Q,C1,C1,0.0,0.0
Fc0C1Fc1C1LQS9,Q,C1,C1,0.0,0.0
Fc0C1Fc1C1LQS10,Q,C1,C1,0.0447,0.0
Fc0C1Fc1C1LQS11,Q,C1,C1,0.0,6.0
Fc0C1Fc1C1LQS12,Q,C1,C1,0.0072,0.0265
Fc0C1Fc1C1LQS13,Q,C1,C1,0.0,0.0
Fc0C1Fc1C1LQS14,Q,C1,C1,9.0,0.0151
Fc0C1Fc1C1LQS15,Q,C1,C1,9.0,0.0
Fc0C1Fc1C1LQS16,Q,C1,C1,0.0,0.0
Fc0C1Fc1C1LQS17,Q,C1,C1,0.0,-0.0211
Fc0C1Fc1C1LQS18,Q,C1,C1,0.0,7.0
Fc0C1Fc1C1LQS19,Q,C1,C1,0.0,0.0
Fc0C1Fc1C1LQS20,Q,C1,C1,0.0,0.0
Fc0C1Fc1C1LQS21,Q,C1,C1,0.0,0.0
Fc0C1Fc1C1LQS22,Q,C1,C1,-0.032,0.036
Fc0C1Fc1C1LQS23,Q,C1,C1,0.0,0.0
Fc0C1Fc1C1LQS24,Q,C1,C1,-0.0407,0.0408
Fc0C1Fc1C1LQS25,Q,C1,C1,0.0,0.0
Fc0C1Fc1C1LQS26,Q,C1,C1,0.0,0.0
Fc0C1Fc1C1LQS27,Q,C1,C1,0.0,8.0
Fc0C1Fc1C1LQS28,Q,C1,C1,0.0,6.0
Fc0C1Fc1C1LQS29,Q,C1,C1,7.0,0.0
Fc0C1Fc1C1LQS30,Q,C1,C1,8.0031,0.0
Fc0C1Fc1C1LQS31,Q,C1,C1,0.0,0.0
Fc0C1Fc1C1Fv2V1LRS4,R,C1,C1,1.0,0.0
Fc0C1Fc1C1Fv2V1LRS5,R,C1,C1,1.0,0.0
Fc0C1Fc1C1Fv2V1LRS6,R,C1,C1,1.0,0.0
Fc0C1Fc1C1Fv2V1LRS7,R,C1,C1,1.0,0.0
