sample,label,Fc0,Fc1,Fv2,Fv3
Fc0C1LPS4,P,C1,C0,7.0,0.0
Fc0C1LPS5,P,C1,C0,8.0,0.0
Fc0C1LPS6,P,C1,C0,0.0,5.9625
Fc0C1LPS7,P,C1,C0,0.0,0.0
Fc0C1LPS8,P,C1,C0,7.0631,0.0
Fc0C1LPS9,P,C1,C0,0.0,0.0
Fc0C1LPS10,P,C1,C9,0.0,0.0
Fc0C1LPS11,P,C1,C0,0.0562,0.0
Fc0C1LPS12,P,C1,C0,0.0,0.0
Fc0C1LPS13,P,C1,C0,0.0,0.0
Fc0C1LPS14,P,C1,C6,0.0,0.0096
Fc0C1LPS15,P,C1,C0,-0.026,0.0
Fc0C1LPS16,P,C1,C0,0.0,9.0
Fc0C1LPS17,P,C1,C0,-0.0851,0.0
Fc0C1LPS18,P,C1,C0,0.0,0.0
Fc0C1LPS19,P,C1,C0,0.0,0.0561
Fc0C1LPS20,P,C1,C0,0.0,0.0
Fc0C1LPS21,P,C1,C8,0.0,0.0
Fc0C1LPS22,P,C1,C0,5.0,-0.0636
Fc0C1LPS23,P,C1,C0,0.0214,8.9648
Fc0C1LPS24,P,C1,C0,0.0,0.0
Fc0C1LPS25,P,C1,C0,4.0,0.0
Fc0C1LPS26,P,C1,C0,0.0,0.0
Fc0C1LPS27,P,C1,C0,7.0,0.0974
Fc0C1LPS28,P,C1,C0,0.0,0.0
Fc0C1LPS29,P,C1,C0,0.0,0.0
Fc0C1LPS30,P,C1,C0,0.0,0.0
Fc0C1LPS31,P,C1,C0,0.0,9.0
Fc0C1Fc1C1LQS4,Q,C1,C1,0.0,6.0
Fc0C1Fc1C1LQS5,Q,C1,C1,0.0,0.0
Fc0C1Fc1C1LQS6,Q,C1,C1,0.0,7.9656
Fc0C1Fc1C1LQS7,Q,C1,C1,0.0,0.0
Fc0C1Fc1C1LQS8,Q,C1,C1,0.0292,0.0
Fc0C1Fc1C1LQS9,Q,C1,C1,0.0,5.0
Fc0C1Fc1C1LQS10,Q,C1,C1,0.0,0.0703
Fc0C1Fc1C1LQS11,Q,C1,C1,4.0,0.0759
Fc0C1Fc1C1LQS12,Q,C1,C1,0.0,5.0
Fc0C1Fc1C1LQS13,Q,C1,C1,0.0,0.0
Fc0C1Fc1C1LQS14,Q,C1,C1,0.0,4.0869
Fc0C1Fc1C1LQS15,Q,C1,C1,-0.0094,9.0
Fc0C1Fc1C1LQS16,Q,C1,C1,-0.0092,0.0456
Fc0C1Fc1C1LQS17,Q,C1,C1,0.0,0.0
Fc0C1Fc1C1LQS18,Q,C1,C1,0.0,9.0
Fc0C1Fc1C1LQS19,Q,C1,C1,0.0,0.0
Fc0C1Fc1C1LQS20,Q,C1,C1,4.0,0.0
Fc0C1Fc1C1LQS21,Q,C1,C1,0.0,9.0
Fc0C1Fc1C1LQS22,Q,C1,C1,0.0,7.0
Fc0C1Fc1C1LQS23,Q,C1,C1,0.0,0.0334
Fc0C1Fc1C1LQS24,Q,C1,C1,0.0,0.0
Fc0C1Fc1C1LQS25,Q,C1,C1,0.0,0.0
Fc0C1Fc1C1LQS26,Q,C1,C1,0.0,6.0
Fc0C1Fc1C1LQS27,Q,C1,C1,8.9553,7.0
Fc0C1Fc1C1LQS28,Q,C1,C1,0.0,0.0
Fc0C1Fc1C1LQS29,Q,C1,C1,0.0,0.0
Fc0C1Fc1C1LQS30,Q,C1,C1,-0.0914,0.0
Fc0C1Fc1C1LQS31,Q,C1,C1,0.0,0.0
Fc0C1Fc1C1Fv2V1LRS4,R,C1,C1,1.0851,0.0
Fc0C1Fc1C1Fv2V1LRS5,R,C1,C1,1.0695,6.0
Fc0C1Fc1C1Fv2V1LRS6,R,C1,C1,1.0,0.0
Fc0C1Fc1C1Fv2V1LRS7,R,C1,C1,0.9094,0.0
Fc0C1Fc1C1Fv2V1LRS8,R,C1,C1,1.0,0.08
Fc0C1Fc1C1Fv2V1LRS9,R,C1,C1,1.0416,0.0
Fc0C1Fc1C1Fv2V1LRS10,R,C1,C1,1.0,-0.0128
Fc0C1Fc1C1Fv2V1LRS11,R,C1,C1,0.9686,0.0
Fc0C1Fc1C1Fv2V1LRS12,R,C1,C1,1.0,0.0
Fc0C1Fc1C1Fv2V1LRS13,R,C1,C1,1.0,6.951
Fc0C1Fc1C1Fv2V1LRS14,R,C1,C1,1.0,9.0
Fc0C1Fc1C1Fv2V1LRS15,R,C1,C1,1.0,0.0
Fc0C1Fc1C1Fv2V1LRS16,R,C1,C1,1.0,0.0132
Fc0C1Fc1C1Fv2V1LRS17,R,C1,C1,1.0522,0.0
Fc0C1Fc1C1Fv2V1LRS18,R,C1,C1,1.0,0.0
Fc0C1Fc1C1Fv2V1LRS19,R,C1,C1,0.9071,0.0
Fc0C1Fc1C1Fv2V1LRS20,R,C1,C1,1.0,8.0823
Fc0C1Fc1C1Fv2V1LRS21,R,C1,C1,1.0,-0.0349
Fc0C1Fc1C1Fv2V1LRS22,R,C1,C1,1.0,0.0
Fc0C1Fc1C1Fv2V1LRS23,R,C1,C1,1.0,0.0
Fc0C1Fc1C1Fv2V1LRS24,R,C1,C1,1.0,0.0
Fc0C1Fc1C1Fv2V1LRS25,R,C1,C1,1.0,9.0
Fc0C1Fc1C1Fv2V1LRS26,R,C1,C1,0.9991,0.0
Fc0C1Fc1C1Fv2V1LRS27,R,C1,C1,0.9429,0.0
Fc0C1Fc1C1Fv2V1LRS28,R,C1,C1,1.0,0.0
Fc0C1Fc1C1Fv2V1LRS29,R,C1,C1,1.0,0.0
Fc0C1Fc1C1Fv2V1LRS30,R,C1,C1,1.0,0.0
Fc0C1Fc1C1Fv2V1LRS31,R,C1,C1,1.0,0.0
Fc0C1Fc1C1Fv2V2LSS4,S,C1,C1,2.0,0.0
Fc0C1Fc1C1Fv2V2LSS5,S,C1,C1,2.0,0.0367
Fc0C1Fc1C1Fv2V2LSS6,S,C1,C1,2.0,6.0778
Fc0C1Fc1C1Fv2V2LSS7,S,C1,C1,1.9563,0.0
Fc0C1Fc1C1Fv2V2LSS8,S,C1,C1,2.0,0.0
Fc0C1Fc1C1Fv2V2LSS9,S,C1,C1,2.0,-0.005
Fc0C1Fc1C1Fv2V2LSS10,S,C1,C1,2.0,0.0
Fc0C1Fc1C1Fv2V2LSS11,S,C1,C1,2.0,0.0
Fc0C1Fc1C1Fv2V2LSS12,S,C1,C1,2.0,0.0
Fc0C1Fc1C1Fv2V2LSS13,S,C1,C1,2.0,0.0
Fc0C1Fc1C1Fv2V2LSS14,S,C1,C1,2.0,5.0
Fc0C1Fc1C1Fv2V2LSS15,S,C1,C1,2.0,0.0
Fc0C1Fc1C1Fv2V2LSS16,S,C1,C1,2.0918,0.0
Fc0C1Fc1C1Fv2V2LSS17,S,C1,C1,2.0,0.0
Fc0C1Fc1C1Fv2V2LSS18,S,C1,C1,2.0,0.0
Fc0C1Fc1C1Fv2V2LSS19,S,C1,C1,2.0,6.0
Fc0C1Fc1C1Fv2V2LSS20,S,C1,C1,2.0713,0.0
Fc0C1Fc1C1Fv2V2LSS21,S,C1,C1,2.0016,0.0
Fc0C1Fc1C1Fv2V2LSS22,S,C1,C1,2.0,0.0071
Fc0C1Fc1C1Fv2V2LSS23,S,C1,C1,2.0,0.0828
Fc0C1Fc1C1Fv2V2LSS24,S,C1,C1,2.0,5.0
Fc0C1Fc1C1Fv2V2LSS25,S,C1,C1,2.0,-0.0128
Fc0C1Fc1C1Fv2V2LSS26,S,C1,C1,2.0,0.0
Fc0C1Fc1C1Fv2V2LSS27,S,C1,C1,2.0,0.0
Fc0C1Fc1C1Fv2V2LSS28,S,C1,C1,2.0,4.0
Fc0C1Fc1C1Fv2V2LSS29,S,C1,C1,2.0,0.0
Fc0C1Fc1C1Fv2V2LSS30,S,C1,C1,2.0,0.0
Fc0C1Fc1C1Fv2V2LSS31,S,C1,C1,2.0,0.0
Fc0C1Fc1C1Fv2V3LTS4,T,C1,C1,3.0,0.0
Fc0C1Fc1C1Fv2V3LTS5,T,C1,C1,3.0,-0.0124
Fc0C1Fc1C1Fv2V3LTS6,T,C1,C1,3.0,0.0
Fc0C1Fc1C1Fv2V3LTS7,T,C1,C1,2.9189,8.0
Fc0C1Fc1C1Fv2V3LTS8,T,C1,C1,3.0,0.0
Fc0C1Fc1C1Fv2V3LTS9,T,C1,C1,3.0,0.0
Fc0C1Fc1C1Fv2V3LTS10,T,C1,C1,3.0,3.9711
Fc0C1Fc1C1Fv2V3LTS11,T,C1,C1,3.0,7.0
Fc0C1Fc1C1Fv2V3LTS12,T,C1,C1,3.0,0.0
Fc0C1Fc1C1Fv2V3LTS13,T,C1,C1,3.0,0.0
Fc0C1Fc1C1Fv2V3LTS14,T,C1,C1,3.0,0.0
Fc0C1Fc1C1Fv2V3LTS15,T,C1,C1,3.0,0.0
Fc0C1Fc1C1Fv2V3LTS16,T,C1,C1,3.054,-0.07
Fc0C1Fc1C1Fv2V3LTS17,T,C1,C1,3.0,0.0
Fc0C1Fc1C1Fv2V3LTS18,T,C1,C1,3.0,0.0
Fc0C1Fc1C1Fv2V3LTS19,T,C1,C1,3.0,8.0
Fc0C1Fc1C1Fv2V3LTS20,T,C1,C1,3.0,0.0
