sample,label,Fc0,Fc1,Fv2,Fv3
Fc0C1LPS4,P,C1,C0,0.0,0.0
Fc0C1LPS5,P,C1,C0,-0.0403,0.0
Fc0C1LPS6,P,C1,C0,-0.0921,0.0
Fc0C1LPS7,P,C1,C4,0.0,0.0
Fc0C1LPS8,P,C1,C9,4.0989,0.0
Fc0C1LPS9,P,C1,C0,7.8854,0.0268
Fc0C1LPS10,P,C1,C0,0.1138,0.1434
Fc0C1LPS11,P,C1,C0,0.0,0.0
Fc0C1LPS12,P,C1,C0,0.0,0.0
Fc0C1LPS13,P,C1,C0,7.0,0.0
Fc0C1LPS14,P,C1,C0,0.0276,-0.0529
Fc0C1LPS15,P,C1,C5,5.0,7.0594
Fc0C1LPS16,P,C1,C0,5.0,6.0
Fc0C1LPS17,P,C1,C7,9.0,0.0
Fc0C1LPS18,P,C1,C0,0.0,0.0
Fc0C1LPS19,P,C1,C7,8.0,0.0
Fc0C1LPS20,P,C1,C6,0.1447,7.0
Fc0C1LPS21,P,C1,C0,6.0,0.0
Fc0C1LPS22,P,C1,C0,7.0,0.0
Fc0C1LPS23,P,C1,C0,-0.0987,0.0
Fc0C1LPS24,P,C1,C4,0.0,4.0
Fc0C1LPS25,P,C1,C0,0.0,0.0
Fc0C1LPS26,P,C1,C4,0.0,0.0
Fc0C1LPS27,P,C1,C5,0.0,0.0
Fc0C1LPS28,P,C1,C6,0.0,0.0
Fc0C1LPS29,P,C1,C0,0.0,0.0
Fc0C1LPS30,P,C1,C5,-0.0336,-0.1313
Fc0C1LPS31,P,C1,C0,0.0,9.0
Fc0C1Fc1C1LQS4,Q,C1,C1,0.0,-0.0971
Fc0C1Fc1C1LQS5,Q,C1,C1,-0.1427,0.1338
Fc0C1Fc1C1LQS6,Q,C1,C1,7.0,0.1393
Fc0C1Fc1C1LQS7,Q,C1,C1,0.0,0.0
Fc0C1Fc1C1LQS8,Q,C1,C1,0.0,6.9907
Fc0C1Fc1C1LQS9,Q,C1,C1,9.0,0.0
Fc0C1Fc1C1LQS10,Q,C1,C1,0.0,-0.0028
Fc0C1Fc1C1LQS11,Q,C1,C1,0.0,4.8978
Fc0C1Fc1C1LQS12,Q,C1,C1,0.0936,0.0
Fc0C1Fc1C1LQS13,Q,C1,C1,4.0,-0.0258
Fc0C1Fc1C1LQS14,Q,C1,C1,0.0,0.0
Fc0C1Fc1C1LQS15,Q,C1,C1,0.0384,0.0
Fc0C1Fc1C1LQS16,Q,C1,C1,0.0,0.0
Fc0C1Fc1C1LQS17,Q,C1,C1,7.088,0.0
Fc0C1Fc1C1LQS18,Q,C1,C1,-0.0722,0.0
Fc0C1Fc1C1LQS19,Q,C1,C1,5.8927,0.0
Fc0C1Fc1C1LQS20,Q,C1,C1,-0.1337,0.0
Fc0C1Fc1C1LQS21,Q,C1,C1,0.0,4.0
