sample,label,Fc0,Fc1,Fv2,Fv3
Fc0C1LPS4,P,C1,C0,0.2297,8.97
Fc0C1LPS5,P,C1,C0,6.0,-0.1879
Fc0C1LPS6,P,C1,C0,0.0,0.0
Fc0C1LPS7,P,C1,C8,0.0,3.8432
Fc0C1LPS8,P,C1,C9,6.0,-0.2307
Fc0C1LPS9,P,C1,C0,6.7679,6.0
Fc0C1LPS10,P,C1,C0,8.8238,6.0513
Fc0C1LPS11,P,C1,C4,0.0,7.0
Fc0C1LPS12,P,C1,C4,4.0026,5.0687
Fc0C1LPS13,P,C1,C0,4.0,6.015
Fc0C1LPS14,P,C1,C5,5.0,4.0431
Fc0C1LPS15,P,C1,C4,-0.092,0.0
Fc0C1LPS16,P,C1,C0,0.0,7.9864
Fc0C1LPS17,P,C1,C0,0.0126,0.1126
Fc0C1LPS18,P,C1,C5,7.0,-0.0135
Fc0C1LPS19,P,C1,C0,6.0,8.8768
Fc0C1LPS20,P,C1,C0,7.0,7.0
Fc0C1LPS21,P,C1,C8,9.2304,0.1678
Fc0C1LPS22,P,C1,C6,-0.0715,-0.1112
Fc0C1LPS23,P,C1,C0,5.0,0.0
Fc0C1LPS24,P,C1,C4,9.0,6.011
Fc0C1LPS25,P,C1,C0,5.7736,-0.1255
Fc0C1LPS26,P,C1,C5,8.0,0.0
Fc0C1LPS27,P,C1,C8,0.2007,4.7691
Fc0C1LPS28,P,C1,C0,9.0,5.9147
Fc0C1LPS29,P,C1,C8,0.0,0.0218
Fc0C1LPS30,P,C1,C0,0.0,4.0
Fc0C1LPS31,P,C1,C4,-0.178,0.0888
Fc0C1Fc1C1LQS4,Q,C1,C1,-0.1256,4.1728
Fc0C1Fc1C1LQS5,Q,C1,C1,4.0,7.8113
Fc0C1Fc1C1LQS6,Q,C1,C1,8.0,6.7635
Fc0C1Fc1C1LQS7,Q,C1,C1,9.0,-0.0761
Fc0C1Fc1C1LQS8,Q,C1,C1,4.1929,4.0
Fc0C1Fc1C1LQS9,Q,C1,C1,6.0,0.0008
Fc0C1Fc1C1LQS10,Q,C1,C1,0.0,4.0
Fc0C1Fc1C1LQS11,Q,C1,C1,-0.2355,-0.1084
Fc0C1Fc1C1LQS12,Q,C1,C1,9.0,9.0
Fc0C1Fc1C1LQS13,Q,C1,C1,6.1627,0.0
Fc0C1Fc1C1LQS14,Q,C1,C1,0.0,0.0
Fc0C1Fc1C1LQS15,Q,C1,C1,0.0,-0.2004
Fc0C1Fc1C1LQS16,Q,C1,C1,0.0824,-0.1194
Fc0C1Fc1C1LQS17,Q,C1,C1,-0.1699,7.1102
Fc0C1Fc1C1LQS18,Q,C1,C1,0.2222,5.7787
Fc0C1Fc1C1LQS19,Q,C1,C1,8.0302,0.0
Fc0C1Fc1C1LQS20,Q,C1,C1,8.0,7.0
Fc0C1Fc1C1LQS21,Q,C1,C1,0.0,0.0
Fc0C1Fc1C1LQS22,Q,C1,C1,-0.0596,0.0
Fc0C1Fc1C1LQS23,Q,C1,C1,6.0823,6.0
Fc0C1Fc1C1LQS24,Q,C1,C1,5.0,0.2217
Fc0C1Fc1C1LQS25,Q,C1,C1,0.0,0.0
Fc0C1Fc1C1LQS26,Q,C1,C1,0.0,0.0
Fc0C1Fc1C1LQS27,Q,C1,C1,0.0,3.9912
Fc0C1Fc1C1LQS28,Q,C1,C1,4.0,0.0
Fc0C1Fc1C1LQS29,Q,C1,C1,0.0446,5.0
Fc0C1Fc1C1LQS30,Q,C1,C1,0.1819,3.9201
Fc0C1Fc1C1LQS31,Q,C1,C1,6.0,6.0
Fc0C1Fc1C1Fv2V1LRS4,R,C1,C1,1.0,9.0
Fc0C1Fc1C1Fv2V1LRS5,R,C1,C1,1.1099,0.0
Fc0C1Fc1C1Fv2V1LRS6,R,C1,C1,1.0389,7.0
Fc0C1Fc1C1Fv2V1LRS7,R,C1,C1,1.0,0.0
Fc0C1Fc1C1Fv2V1LRS8,R,C1,C1,0.9184,0.0
Fc0C1Fc1C1Fv2V1LRS9,R,C1,C1,0.7939,9.2324
Fc0C1Fc1C1Fv2V1LRS10,R,C1,C1,0.8965,4.0
Fc0C1Fc1C1Fv2V1LRS11,R,C1,C1,1.0,4.9431
Fc0C1Fc1C1Fv2V1LRS12,R,C1,C1,1.0,9.0
Fc0C1Fc1C1Fv2V1LRS13,R,C1,C1,1.0,0.1037
Fc0C1Fc1C1Fv2V1LRS14,R,C1,C1,1.0,-0.1182
Fc0C1Fc1C1Fv2V1LRS15,R,C1,C1,0.7906,-0.1905
Fc0C1Fc1C1Fv2V1LRS16,R,C1,C1,0.7899,9.0
Fc0C1Fc1C1Fv2V1LRS17,R,C1,C1,0.7777,9.0
Fc0C1Fc1C1Fv2V1LRS18,R,C1,C1,1.0575,6.0
Fc0C1Fc1C1Fv2V1LRS19,R,C1,C1,1.0,3.9197
Fc0C1Fc1C1Fv2V1LRS20,R,C1,C1,0.8158,4.0
Fc0C1Fc1C1Fv2V1LRS21,R,C1,C1,1.0342,9.0356
Fc0C1Fc1C1Fv2V1LRS22,R,C1,C1,1.0,5.0
Fc0C1Fc1C1Fv2V1LRS23,R,C1,C1,0.8683,7.0
Fc0C1Fc1C1Fv2V1LRS24,R,C1,C1,1.1767,4.0
Fc0C1Fc1C1Fv2V1LRS25,R,C1,C1,1.0,9.0
Fc0C1Fc1C1Fv2V1LRS26,R,C1,C1,1.0,4.0
Fc0C1Fc1C1Fv2V1LRS27,R,C1,C1,1.0,-0.1408
Fc0C1Fc1C1Fv2V1LRS28,R,C1,C1,1.0978,0.0
Fc0C1Fc1C1Fv2V1LRS29,R,C1,C1,1.0,0.0
Fc0C1Fc1C1Fv2V1LRS30,R,C1,C1,1.0,5.1158
Fc0C1Fc1C1Fv2V1LRS31,R,C1,C1,1.0401,0.0
Fc0C1Fc1C1Fv2V2LSS4,S,C1,C1,2.0,8.0
Fc0C1Fc1C1Fv2V2LSS5,S,C1,C1,1.816,8.0
Fc0C1Fc1C1Fv2V2LSS6,S,C1,C1,2.0,8.0
Fc0C1Fc1C1Fv2V2LSS7,S,C1,C1,2.0,0.0
Fc0C1Fc1C1Fv2V2LSS8,S,C1,C1,1.8791,-0.1258
Fc0C1Fc1C1Fv2V2LSS9,S,C1,C1,1.9801,3.9557
Fc0C1Fc1C1Fv2V2LSS10,S,C1,C1,1.9597,0.0813
Fc0C1Fc1C1Fv2V2LSS11,S,C1,C1,2.0,-0.0205
Fc0C1Fc1C1Fv2V2LSS12,S,C1,C1,2.0,0.0
Fc0C1Fc1C1Fv2V2LSS13,S,C1,C1,2.0,8.0
Fc0C1Fc1C1Fv2V2LSS14,S,C1,C1,2.0,0.0
Fc0C1Fc1C1Fv2V2LSS15,S,C1,C1,2.1356,4.2241
Fc0C1Fc1C1Fv2V2LSS16,S,C1,C1,1.8976,4.8298
Fc0C1Fc1C1Fv2V2LSS17,S,C1,C1,1.8127,7.9791
Fc0C1Fc1C1Fv2V2LSS18,S,C1,C1,1.7844,8.789
Fc0C1Fc1C1Fv2V2LSS19,S,C1,C1,2.2317,0.0
Fc0C1Fc1C1Fv2V2LSS20,S,C1,C1,2.0469,8.0
Fc0C1Fc1C1Fv2V2LSS21,S,C1,C1,2.1232,0.0
Fc0C1Fc1C1Fv2V2LSS22,S,C1,C1,2.2012,-0.1018
Fc0C1Fc1C1Fv2V2LSS23,S,C1,C1,2.0,5.156
Fc0C1Fc1C1Fv2V2LSS24,S,C1,C1,2.0,0.0
Fc0C1Fc1C1Fv2V2LSS25,S,C1,C1,1.8371,-0.0053
Fc0C1Fc1C1Fv2V2LSS26,S,C1,C1,2.0,8.8656
Fc0C1Fc1C1Fv2V2LSS27,S,C1,C1,2.2155,0.186
Fc0C1Fc1C1Fv2V2LSS28,S,C1,C1,2.0,0.0
Fc0C1Fc1C1Fv2V2LSS29,S,C1,C1,2.0,5.0
Fc0C1Fc1C1Fv2V2LSS30,S,C1,C1,2.0,0.0
