sample,label,Fc0,Fc1,Fv2,Fv3
Fc0C1LPS4,P,C1,C0,0.0,0.0
Fc0C1LPS5,P,C1,C0,0.0829,9.0
Fc0C1LPS6,P,C1,C9,0.0,0.0
Fc0C1LPS7,P,C1,C9,-0.093,8.0
Fc0C1LPS8,P,C1,C0,0.0,0.0
Fc0C1LPS9,P,C1,C0,0.0,0.0262
Fc0C1LPS10,P,C1,C0,0.0,0.0
Fc0C1LPS11,P,C1,C0,-0.0266,0.0
Fc0C1LPS12,P,C1,C0,0.0,0.0
Fc0C1LPS13,P,C1,C6,0.0,5.0
Fc0C1LPS14,P,C1,C0,0.0,9.0
Fc0C1LPS15,P,C1,C0,8.9799,0.0
Fc0C1LPS16,P,C1,C6,-0.0059,0.0
Fc0C1LPS17,P,C1,C0,4.9186,0.0
Fc0C1LPS18,P,C1,C0,0.0,8.0
Fc0C1LPS19,P,C1,C8,0.0,5.0
Fc0C1LPS20,P,C1,C0,0.0264,-0.1422
Fc0C1LPS21,P,C1,C0,-0.1631,5.0
Fc0C1LPS22,P,C1,C5,0.1568,7.0
Fc0C1LPS23,P,C1,C0,0.0,4.9872
Fc0C1LPS24,P,C1,C6,0.0343,0.0
Fc0C1LPS25,P,C1,C0,0.0,0.0
Fc0C1LPS26,P,C1,C0,8.0,4.1159
Fc0C1LPS27,P,C1,C0,0.0,0.0
Fc0C1LPS28,P,C1,C9,5.0,0.0
Fc0C1LPS29,P,C1,C0,8.0,5.1074
Fc0C1LPS30,P,C1,C4,8.0375,0.0
Fc0C1LPS31,P,C1,C0,0.0116,0.0
Fc0C1Fc1C1LQS4,Q,C1,C1,0.0,0.0
Fc0C1Fc1C1LQS5,Q,C1,C1,0.0,-0.1199
Fc0C1Fc1C1LQS6,Q,C1,C1,4.8947,0.0
Fc0C1Fc1C1LQS7,Q,C1,C1,6.0,7.0
Fc0C1Fc1C1LQS8,Q,C1,C1,3.8863,-0.0329
Fc0C1Fc1C1LQS9,Q,C1,C1,4.0,-0.002
Fc0C1Fc1C1LQS10,Q,C1,C1,0.0,5.0
Fc0C1Fc1C1LQS11,Q,C1,C1,0.1053,0.0
Fc0C1Fc1C1LQS12,Q,C1,C1,0.1422,0.0
Fc0C1Fc1C1LQS13,Q,C1,C1,5.0,0.0
Fc0C1Fc1C1LQS14,Q,C1,C1,6.8951,7.8454
Fc0C1Fc1C1LQS15,Q,C1,C1,0.0,-0.0618
Fc0C1Fc1C1LQS16,Q,C1,C1,7.0,-0.0639
Fc0C1Fc1C1LQS17,Q,C1,C1,0.1466,0.0
Fc0C1Fc1C1LQS18,Q,C1,C1,0.0,0.0
Fc0C1Fc1C1LQS19,Q,C1,C1,0.0,0.0
Fc0C1Fc1C1LQS20,Q,C1,C1,9.0,0.0
Fc0C1Fc1C1LQS21,Q,C1,C1,5.0,7.0
Fc0C1Fc1C1LQS22,Q,C1,C1,-0.029,0.0883
Fc0C1Fc1C1LQS23,Q,C1,C1,0.0,-0.1362
Fc0C1Fc1C1LQS24,Q,C1,C1,0.0,9.0
Fc0C1Fc1C1LQS25,Q,C1,C1,8.0,6.9002
Fc0C1Fc1C1LQS26,Q,C1,C1,0.128,0.0
Fc0C1Fc1C1LQS27,Q,C1,C1,-0.1849,9.0461
Fc0C1Fc1C1LQS28,Q,C1,C1,0.0,8.0
Fc0C1Fc1C1LQS29,Q,C1,C1,0.0782,7.0
Fc0C1Fc1C1LQS30,Q,C1,C1,6.9596,0.0
Fc0C1Fc1C1LQS31,Q,C1,C1,5.0816,5.0
Fc0C1Fc1C1Fv2V1LRS4,R,C1,C1,0.8865,6.82
Fc0C1Fc1C1Fv2V1LRS5,R,C1,C1,0.8047,4.0
Fc0C1Fc1C1Fv2V1LRS6,R,C1,C1,1.0,0.0
Fc0C1Fc1C1Fv2V1LRS7,R,C1,C1,1.0,8.8188
Fc0C1Fc1C1Fv2V1LRS8,R,C1,C1,1.0,0.0
Fc0C1Fc1C1Fv2V1LRS9,R,C1,C1,1.187,0.0
Fc0C1Fc1C1Fv2V1LRS10,R,C1,C1,1.0,9.0
Fc0C1Fc1C1Fv2V1LRS11,R,C1,C1,1.0,4.8655
Fc0C1Fc1C1Fv2V1LRS12,R,C1,C1,1.1201,0.1899
Fc0C1Fc1C1Fv2V1LRS13,R,C1,C1,1.0,0.0586
Fc0C1Fc1C1Fv2V1LRS14,R,C1,C1,1.0,0.0
Fc0C1Fc1C1Fv2V1LRS15,R,C1,C1,1.0,-0.0269
Fc0C1Fc1C1Fv2V1LRS16,R,C1,C1,1.0,0.0
Fc0C1Fc1C1Fv2V1LRS17,R,C1,C1,1.0785,-0.1827
Fc0C1Fc1C1Fv2V1LRS18,R,C1,C1,1.0,0.0
Fc0C1Fc1C1Fv2V1LRS19,R,C1,C1,1.0,9.0
Fc0C1Fc1C1Fv2V1LRS20,R,C1,C1,1.0,0.0
Fc0C1Fc1C1Fv2V1LRS21,R,C1,C1,1.0,0.0
Fc0C1Fc1C1Fv2V1LRS22,R,C1,C1,1.0,8.0
