head,0,1,2,3,4,5,6,7,8
"Company:10429",0.20300751988225352,0.04990235200599845,0.6264080364308112,-0.6869692721717814,-0.05060275022758367,0.2881448632632771,-0.01071414573084643,-0.03911066936521795,0.06893007463835656
"Company:15145",0.1778050109201609,0.038654743585852316,0.6553869816030168,-0.6746586117193739,-0.04632710742602819,0.27490135654262327,0.003899028405916017,-0.027038837753922417,0.06108676605564528
"Company:13998",0.18575736560791464,0.04538589000373338,0.6080002157901478,-0.6984240920318469,-0.05016540203165214,0.311283458668589,0.004529876265773367,-0.033109694963595955,0.07377747961511318
"Company:12736",0.18722508126509474,0.047351461033418925,0.6097789865047575,-0.7007079649656851,-0.05031133260638882,0.3021254524640802,-0.00016176939855854148,-0.034203257331041396,0.07001168000777319
"Company:15851",0.19902255424194426,0.04897642065702207,0.6181023181227043,-0.6966341483275778,-0.05853442778890331,0.28999566922021186,-0.002551249393342281,-0.03423337400179229,0.04403998939398201
"Company:10550",0.16548226230548185,0.06191362414431378,0.6104959756835014,-0.6999871761756062,-0.05214611304091454,0.31179958611290093,0.006781245215371883,-0.031416547959707365,0.07158042395584872
"Company:15799",0.14730771387436872,0.06605611433463186,0.6238598959941545,-0.6930756557990821,-0.04872040826994729,0.309305430007773,0.011057834164745555,-0.03130614242956699,0.07236100632545793
"Company:12672",0.18927171079019994,0.05047537885087398,0.604373143141731,-0.7022988050599153,-0.052704134650173075,0.30674673293112475,-0.0016117244147043374,-0.03543108409632131,0.07077220171677216
"Company:12034",0.1825709587893927,0.05751102940489019,0.6168924142229255,-0.6824720041260486,-0.05513224814825179,0.32687215591850055,0.003271121581530449,-0.035791483166649235,0.07654631119484692
"Company:10405",0.17306688636385448,0.043672532121324985,0.6595160979379661,-0.6753350200777235,-0.04783933525355593,0.26412108941706175,0.006203435398772016,-0.02986411593579262,0.0642089565092074
"Company:10961",0.19900583373653666,0.04268168698341819,0.6261992226104294,-0.6907294129166243,-0.05411664819111003,0.2859965487331349,-0.010585285288911688,-0.03617990226438747,0.056556983457499585
"Company:10801",0.19598866651951322,0.04299843374952058,0.6163491227938438,-0.697061402999262,-0.054446678513734414,0.2938975025119932,-0.005684652310438456,-0.03531802901048638,0.05778300218844352
"Company:14072",0.1762801440061827,0.04049073760477632,0.6592571890856898,-0.669740758084457,-0.04667734929581207,0.27715191720859317,0.0060320026628256085,-0.02981748189759293,0.06477390805063991
"Company:11753",0.1679500082073187,0.04008784465787627,0.6636519519177899,-0.6678503104508575,-0.0446934808387512,0.27696993436277095,0.007884404338176746,-0.027549279475358682,0.06478294990557187
"Company:13721",0.1894342329974785,0.06888614195356246,0.6429150145133558,-0.6792936383650722,-0.04274869478567299,0.27805481683459415,0.011746207365316634,-0.02325279202278744,0.06905946720271194
"Company:12372",0.1589918009152024,0.04646709083826286,0.6136791212272643,-0.704886228871316,-0.04328787320744728,0.30218079101323986,0.0015699936473341266,-0.0318821343358552,0.06992675763971375
"Company:13969",0.20412918795945764,0.044755057814201006,0.6376852524709904,-0.6823498979822212,-0.0496455124292497,0.27372863245272877,0.016377248824027926,-0.0317435843272712,0.07359676877370976
