head,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
"ROWID:9c0bbd4d-6e07-433e-b144-a8d5b66bd121",-0.043821058285638474,-0.7436551055770289,-0.4226852533546417,-0.3620955066964306,0.12760457152551533,-0.10299252999170887,-0.09247929804645731,-0.04873703236276731,0.01607676719897298,-0.06931930659353869,0.03729564457268756,0.2533749354307103,-0.09861633034502129,0.04513011219365552,0.027632859138321905,0.0581646013456804,-0.04853745812481324,0.047144991196380534,-0.04045573828747092,0.03298272594699549,0.05259557071208076,0.026254062481353962,-0.011917348662268887,4.9557031530132834e-05
"ROWID:422a32db-be0d-4e4c-a73e-1163bacac857",-0.039705187771342104,-0.8624481240964722,-0.20016458060734207,-0.2930932613054979,0.06439991436976972,0.0025472425182331963,-0.18715786792279895,-0.06763884657800008,0.018234758429249237,-0.0784462861602947,-0.08197641130962509,0.16235643018337925,-0.14633963170699263,0.03382214596113378,0.061048970249740375,0.10510643717641505,-0.002718178905613159,0.04783676806655224,0.00513293521120432,0.03336640865388873,0.0606712197756809,0.026894118502666497,-0.011872328279079122,8.884118180843029e-05
"ROWID:61d6be4f-09d1-4347-b224-e6ae9df9d7e0",-0.03887926888704281,-0.844575994225959,-0.1966785033772222,-0.2870046812755924,0.06318473533941342,0.010252628503139797,-0.24912935275128983,-0.06575549487411941,0.06493545010484707,-0.13795552895686727,-0.04161195354244953,0.14337012769746882,-0.16010484759165242,0.032008634102844734,0.058584610588965816,0.10211680353277262,-0.003616299501968699,0.0463692684861913,0.004609100152747042,0.032730178776390464,0.05919072349220326,0.02631350270424109,-0.01159218193257315,8.459230979575444e-05
"ROWID:79fe38b8-aacd-4702-ac00-989e74e5edbb",-0.04070499462357204,-0.8336355963970735,-0.24431359765867325,-0.28982642230169353,0.10713432188021806,0.012337792481034709,-0.24215403664161653,-0.0674941930830437,0.0668332059136712,-0.08330058696482882,-0.12133869481369898,0.1387442308243936,-0.14947704566937084,-0.049512944374071735,0.06097825106910865,0.01469000433611137,-0.05048512759315313,0.048519267901660286,0.005153044366785927,0.03410395150363588,0.06157076221455828,0.027296517909303417,-0.012081002592723772,3.49706222611332e-05
"ROWID:2e9ff9b6-cb94-4937-958b-01a8790fc02c",-0.03548005502583074,-0.7894529684045634,-0.34030866500170404,-0.2967390518225877,0.16888693841027103,-0.028569691862020657,-0.15688179161643415,-0.1023360490654665,0.09841465906285321,-0.11462492724705739,-0.037333302745815304,0.17996173496433485,-0.1476150945268276,0.03667256706515575,0.06740509336433523,0.05930837071228758,0.08112710533623613,0.04125885116295159,0.0059268028156525395,0.06620802877931235,0.07744757053314832,0.024772559762431597,-0.010141690735895605,4.51873588528871e-05
"ROWID:62d87274-d9de-437c-a6f9-cd80cfc9e85f",-0.03625575675955962,-0.8089504034331912,-0.3490790404170587,-0.30439054327050946,0.18389486014119855,-0.05529475030420655,-0.16011508244032455,-0.10049177630321632,0.08642057853327612,-0.09217496385426291,-0.037923766752170046,0.07740805387713276,-0.1046758109731353,0.0041815678040634735,0.0295525266737616,0.09628267427172657,0.041086749372502895,0.028093115855768958,0.046901325376195985,-0.008541428863842631,0.08456756964022893,0.025334476221205365,-0.010392242546315022,4.274236958059769e-05
"ROWID:177ee1c3-7170-4583-a99b-c87468b87755",-0.04664270063563285,-0.7950994028981871,-0.35651537940819805,-0.36704035517572525,0.12702889163877187,-0.06460176624118175,-0.14898642904282863,-0.03790451714376231,0.05645537405686627,-0.062476031940303205,0.0014088390330840583,0.1625845871226563,-0.10603477752844769,0.03688378130847492,0.03529625850349807,0.06044486341157479,-0.053787308503596476,0.05046995553149696,0.008834817154866817,0.035896677951222124,0.02484582314627154,0.02918289656613201,0.023892667167463577,1.3813371485691427e-05
"ROWID:831a8186-6d69-499c-87a8-a5032dcd68e8",-0.04810312638906905,-0.8189408376530412,-0.359627195881949,-0.32352490449102395,0.1300731302821755,-0.07553099703352037,-0.09435643417772961,-0.004870595771168208,0.058119072204737575,-0.032663269245513,0.0004488943252935166,0.1674707050695921,-0.10898659933885349,0.037703022887125674,0.03597798968449817,0.06211825479020873,-0.05507560873555856,0.0515700662348878,0.008501427904195865,0.03693636513808751,0.03673557242818634,0.030022041309274276,0.03386541472636658,4.844607622086046e-06
"ROWID:0698271d-864f-451f-94bf-ae50be85d160",-0.0478990254598587,-0.7894961450695256,-0.4234549395338059,-0.3233532304986517,0.1268304377937689,-0.05595817755513032,-0.08994657986599822,-0.049262988055147235,0.03692144118213768,-0.013240090212427107,-0.0008355035727840459,0.16708433357478575,-0.10913432144935574,0.03541838141560262,0.03510094035639583,0.06317032760355223,-0.05448928018179106,0.05084933604221332,0.00793289838860385,0.0370504280805593,0.05908535591149492,0.0300090595834196,0.0396219346462914,6.719280559156734e-06
"ROWID:1f7c84cb-b06f-43e2-bcbf-1ad24135c4ed",-0.04596570206196397,-0.7827047801156272,-0.3906463608127687,-0.30744492795464273,0.06920237015766297,-0.10406032787878063,-0.19079362824417812,-0.032941105901629394,0.06805463178357633,-0.08540694989347956,0.04137728350841531,0.1557514204430651,-0.06769274504591857,-0.01325264465903334,-0.01464860848611038,0.1828671630411539,-0.05164455903980906,-0.00020462196144869997,0.0065998087396805455,0.03436456603123809,0.06256558546599193,0.027496259695635922,-0.012534058554658008,7.077258752620136e-05
