head,0,1,2,3,4,5,6,7
"sample:Fc0C1LPS4",0.02351183507665345,0.2153662790620588,0.6530789878571645,-0.19611554430848416,0.31438905227963126,0.5209809417857809,0.29069973762462153,0.18254624893991298
"sample:Fc0C1LPS5",0.022481020289645805,0.21729843807311444,0.6601865146100779,-0.1796803664149819,0.31731092179413034,0.5262500150048448,0.30617121196959535,0.11304253167868171
"sample:Fc0C1LPS6",-0.14295794243638177,0.036788594567921704,0.6219721300302202,-0.29285852258295747,0.15015248092906974,0.4910149160084151,0.46081845787932685,0.17204393283718245
"sample:Fc0C1LPS7",0.04243914355946577,0.02311664428092276,0.5715010979621666,-0.16507144438425336,0.31392930332460595,0.5223689629053259,0.48868592722858895,0.18321456482533968
"sample:Fc0C1LPS8",0.022702082081050304,0.21577378641880238,0.6537586962925123,-0.19193301266164894,0.3146899068442436,0.521382139353856,0.29052179478063905,0.18279931150529516
"sample:Fc0C1LPS9",0.0427212619258228,0.02272249722412375,0.5711928013383927,-0.16518511320378407,0.314021055994246,0.5220728270610905,0.48930312346117016,0.18309679675586799
"sample:Fc0C1LPS10",0.05574699152241853,0.014060721135261828,0.556940996478842,-0.17609377662301545,0.3424682454109985,0.533298369115847,0.4779251996553483,0.1593679116103337
"sample:Fc0C1LPS11",0.04369902676065385,0.02722530452051888,0.5662045784211903,-0.16543414154009023,0.3158244829614381,0.5244427966038199,0.49081680603929395,0.18359360011613396
"sample:Fc0C1LPS12",0.041724457339326095,0.023344806592901345,0.5715149099617362,-0.16522801729327877,0.31413760728514084,0.5225037352766171,0.4885838510858903,0.1826957318244441
"sample:Fc0C1LPS13",0.04259024255948131,0.021327774539388555,0.5711443088884071,-0.16382252602357078,0.31418936573546563,0.5222633332136424,0.48950715660299954,0.1832930782581001
"sample:Fc0C1LPS14",0.05239744094902642,0.009767196480818963,0.5572142569794234,-0.1705736257889794,0.2938354549341377,0.5089823058136296,0.5265905016366534,0.18675171066770907
"sample:Fc0C1LPS15",0.04257822233567924,0.02080731176992883,0.5734061629599301,-0.1633754250196931,0.31350443371189696,0.5214212889851181,0.4885412726018257,0.18283935008503152
"sample:Fc0C1LPS16",-0.15547035403778547,0.04471125690938158,0.6803618113118328,-0.1848764607384955,0.22315870187747988,0.3631393888534053,0.5088686241515088,0.19010805845077208
"sample:Fc0C1LPS17",0.039955453204005446,0.01865037224714753,0.5779268404712988,-0.1649178417665552,0.3123449976189648,0.5192985034356493,0.48631549777872196,0.18200357500985148
"sample:Fc0C1LPS18",0.04285621126974817,0.02168635275829093,0.5716194125717967,-0.16383110121935668,0.3140601387012078,0.5224073528774683,0.48899197857165627,0.18288602061142878
"sample:Fc0C1LPS19",0.03865315938572837,0.021504553824224504,0.5666919216036823,-0.16490768376384843,0.31576380646411906,0.5244758290324814,0.49104914652553067,0.18384305329171524
"sample:Fc0C1LPS20",0.04178146492107519,0.024720066124511067,0.570363946732147,-0.16558400773686044,0.31414068954742547,0.5224700816674431,0.4895867280991194,0.18318190077641167
"sample:Fc0C1LPS21",0.02563257332018457,0.029752253233037217,0.5604891587255477,-0.1497590629195482,0.29595636484132476,0.5566326954920503,0.4773436792086069,0.19129763452767257
