head,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"sample:Fc0C1LPS4",-0.06288697183623518,0.17417118088692113,-0.27487338384464,-0.07954524251978101,-0.2599970923442373,0.15344561271286314,-0.09175783728873278,-0.019952545462680826,-0.16016570191421634,-0.3458898351297211,-0.03251711017819279,-0.1333995734445425,-0.0942417278840485,0.3132601582391966,0.05261533541065723,-0.048895473273815375,-0.06869029305588982,-0.02072333620781906,0.2706103009795996,0.006775537252485257,-0.3395509600834956,0.2842036694514715,-0.21581690702841688,0.15867847687848075,-0.08479205854185366,0.1350157993603963,0.27311430449430313,-0.1375392543046393,0.13278082211728737,0.1409623694265553,0.06010708964107635,0.03548925417554936
"sample:Fc0C1LPS5",-0.05905510121567019,0.33992166390657,-0.3447600645915838,-0.07531318339156393,-0.051653082048457005,0.140931696136976,-0.08778542061186721,-0.017484438700629577,-0.15154582172676548,-0.3248276037313922,-0.03082081919944129,-0.1265167956237988,-0.08873666704450109,0.29451056009872767,0.04905713219431773,-0.04551264112671887,-0.0641291859244937,0.17590200806131895,0.2541251359704529,0.00636312841347177,-0.3465178388456265,0.26664622402117366,-0.20298203458579026,0.14901291863630528,0.0801435151586713,0.12698418850672402,0.25648219098226543,-0.1291934528670058,0.016415815611905686,0.13237917728201176,0.056446144977324315,0.03332817603443713
"sample:Fc0C1LPS6",-0.05643112627020732,0.26708142253643746,-0.4774435843614691,-0.07268865553319202,-0.22088771646240515,0.1344233194419804,-0.08342999667456977,-0.01687307300097281,-0.14477041924369452,-0.3103962476080301,-0.02944847273104438,-0.12111897468777838,-0.08473482476956062,0.28140116817019556,0.047092695473402404,-0.043499946950483016,-0.06153257487853333,-0.01891209779093916,0.2428362880101427,0.006079215086213098,-0.30457590851695543,0.2548818462523287,-0.19389469333224785,0.14239296175783636,0.07638331370335073,0.12138428911912587,0.24508659407328473,-0.12353385974465346,0.01576045864295835,0.12649732773684474,0.05394006652201296,0.03184730545452929
"sample:Fc0C1LPS7",-0.06184309080571081,0.1737602846635675,-0.3551152915714289,-0.07946511071207572,-0.2412296883447941,0.1504884793306607,-0.0884168032617066,-0.019145021656813966,-0.06251455762324719,-0.3410255597775161,0.148624757514819,-0.1299979114581666,-0.0945566405325723,0.3067263185695116,0.051597685319024075,-0.047460216368576814,-0.06560524574037875,-0.02094902731139498,0.26715721238285906,0.006512620992111455,-0.3353345039827162,0.2813317434024955,-0.21376074473763865,0.1563247571545892,0.08268094531452037,0.1334124999842561,0.2690200189209718,-0.13463274673612607,0.017361056596924825,0.13886422354155908,0.059800240951130616,0.03502649790560957
"sample:Fc0C1LPS8",-0.059131289360776225,0.35000374841691695,-0.32629416781379084,-0.07550744383031824,-0.05299717240250765,0.14321535550110773,-0.08779432134728277,-0.014968877709885923,-0.1478757714336149,-0.3264695164182581,-0.030687067628193527,-0.1251228468150287,-0.09067086137737108,0.29674613253219984,0.04866317495994264,-0.04624917958501257,-0.0661643045042888,0.17843712884943103,0.25447526146753874,0.006373146194474235,-0.3471208288466063,0.265842074541712,-0.20370556045480534,0.1495677183830215,0.07897650199912386,0.12893387634600462,0.2573868719927818,-0.13112634267141512,0.01575011622565887,0.13342953986011713,0.0567557974084687,0.033519667556848196
"sample:Fc0C1LPS9",-0.05860636466745306,0.16276209657352517,-0.2564792990350534,-0.07425091849690736,-0.05144774804006057,0.14078440319822855,-0.08539886260667895,-0.01907148276155122,-0.14975011010726297,-0.3223550969456987,-0.030177849584264806,-0.12435934888151255,-0.08801648800226583,0.29229850114927725,0.18758423195046373,-0.04522711185482262,-0.19629043368188448,-0.019257795979342632,0.25219185886734513,0.0063145388292628855,-0.5021605063081057,0.26491333602480244,-0.15374413999089756,0.1478801169812882,0.07926430885213093,0.12594515733134873,0.254530991014497,-0.12821488137789294,0.016464415748314736,0.13137116676225216,0.056015545121866,0.03307434763135503
"sample:Fc0C1LPS10",-0.06367241616315017,0.17663890268212262,-0.2786366323498996,-0.08009865005576736,-0.0554142400765097,0.15343147365714555,-0.09294383227079274,-0.02040139843374559,-0.1621924006066246,-0.35022616697465087,-0.03271486137588687,-0.1346025475929857,-0.0954597988097088,0.3173469342903578,0.18192421096114722,-0.049254426416048665,-0.230882395906988,-0.020615961594911972,0.2739972303917968,0.0068595737812556755,-0.34386753721861596,0.2877024281810637,-0.21843111967593581,0.1606649427784094,0.08588748306996483,-0.06910117063670468,0.27653576400681035,-0.11754970431129284,0.01793762360085942,0.14272964381316774,0.06086179381130188,0.035934180292881646
"sample:Fc0C1LPS11",-0.06486364546371608,0.1807547093688656,-0.37483707614202605,-0.08110547349053852,-0.24635512236811802,0.15575721425947958,-0.0933390962491541,-0.02014710558481817,-0.16713623141624412,-0.3560082843093441,-0.034285926820327085,-0.13580090878590925,-0.09799324954168856,0.32431558762083057,0.055736391517631004,-0.047707540931255246,-0.1226116656393183,-0.02050306203626061,0.27871260730065683,0.007069111610190287,-0.1418131335777407,0.2926755408809178,-0.2227150167782196,0.16348126695079082,0.08778032418837171,0.13787234644073745,0.2812197480836697,-0.14110123298583324,0.018230838948712254,0.1450473042226724,0.06175991374559809,0.0365270993149636
"sample:Fc0C1LPS12",-0.06749345288274143,0.1879377167903056,-0.29800691080334213,-0.08516261163951383,-0.05591383737896981,0.1623322190138489,-0.0970658203494169,-0.020452097560004944,-0.17436125844188147,-0.37039828670960756,-0.035565280878049374,0.06640713883708833,0.09985772261539576,0.24506243683412574,0.1320602020711924,-0.049541729841133274,-0.07652097432502124,-0.02101264809222882,0.2899896668302804,0.007362571134488689,-0.36195688182909763,0.30443691279421387,-0.23176341703506304,0.170100100749619,0.0912205908588182,0.1434423017601322,0.29259478780832154,-0.1467866150594481,0.019077004979781178,0.15090636137428665,0.06425048314025093,0.03800349323549828
"sample:Fc0C1LPS13",-0.06455957535022111,0.1791751672302754,-0.2823846470491922,-0.08140621068368706,-0.05707931771396656,0.15591005987940912,-0.09437588677517698,-0.020437332277424287,-0.16448712709442184,-0.35510467914631266,-0.0330521921529053,-0.13691485446161222,0.09453555649206057,0.2357021745996478,0.19966692677475567,-0.0500510193689026,-0.22113757587512364,-0.021259429521614297,0.27781262226102976,0.006956496398679926,-0.3485729988582366,0.29164937801603985,-0.2215731203525207,0.16290274803136656,0.08730777832952437,0.13874996687071356,0.28039057904077636,-0.1411924120999681,0.018134485370173398,0.14471677436407493,0.06170637022518695,0.036434684533165416
"sample:Fc0C1LPS14",-0.06428404337920372,0.17827911963441154,-0.2801411787388269,-0.077343709481857,-0.054085708389185326,0.15670359304593087,-0.09426679220315601,-0.02159934284540386,-0.14520566138720759,-0.3545229022623213,0.17352937247955202,-0.14271152527677988,-0.09372946942138596,0.24271536076984812,0.053430854634570965,-0.2449529731396504,-0.07091934097463058,-0.020615165858495606,0.27725382204142435,0.006933997653323164,-0.34772722978597087,0.29057821341638823,-0.22076451307708186,0.1624185812751015,0.08653695796691817,0.14035076952854492,0.2802704149587234,-0.14224159964292313,0.017457547906473837,0.1441356785641467,0.061461968586935485,0.0363096778041778
